Generation,Cell Memory Power (in μW),DP Power (in μW),RTC Power (in μW),IMEM Power (in μW),DMEM Power (in μW)
1,12.19993190,0.58900000,0.74500000,10.30000000,1.92000000
2,12.19993190,0.58900000,0.74500000,10.30000000,1.92000000
