Generation,Instruction encoding for maximal metrics
1,['0111' '0011' '1010' '0110' '0000' '0100' '0010' '1100' '1111' '1001']
2,['0111' '0011' '1010' '0110' '0000' '0100' '0010' '1100' '1111' '1001']
